0x16CB rain_init
0x41E7 bonbori_red_init
0x41E8 bonbori_red_init_0
0x1A4F3 rad_point_init
0x1A6DD line_sph_init
0x223D1 nullsub_0
0x423C8 anmtex_init
0x5872D fat_ikef_init
0x5C815 shdwdraw_init
0x7E215 check_slater_init
0xA4D33 fort_init
0xA7CFB selectscr_init
0xB1261 ripple_bubble_init
0xB6ED3 twin_dr_init
0xBA748 ventilatorlit_init
0xBD712 scn_break_init
0xC3D82 vr_map_3d_init
0xD02FD mirror_init
0xDED8C vrpitfall_init
0x10CF2F theater_init
0x12C9D0 zako_title_init
0x1395B5 powspplit_init
0x164EE0 bullet_bar_init
0x170393 waterlinefall_init
0x175436 brk_paper_init
0x17A315 command_init_0
0x17EA77 tng_monitor_control_42a_init
0x17EAB7 tng_monitor_control_44a_init
0x18F412 tngcom_init
0x1AF0D5 scr_bubble_init
0x1AF92A radar_init
0x1B5854 putspot_init
0x1B970C newgame_init_0
0x1CBD93 fatman_init
0x1D5983 vr_sys_init
0x1E44B7 manhat3d_init
0x1F119A endingx_init
0x1F2A23 eddogtag_init
0x206929 shdwdrw2_init
0x209027 box_hidden_init
0x22AE7D clear_result_init
0x24C03E vr_window_init
0x262B46 st_select_init
0x264C7D chim_smo_init
0x2948A0 padvib4_init
0x2A088B gnrl_poly_init
0x2A0B46 kan_init
0x2A41C7 dm_fr_init
0x2A4246 map_3d_init
0x2B8E16 vamp_init
0x2DAD24 f_focus_init
0x2DF578 shavedsnake_init
0x2E4EEB boss_pause_init
0x30E9CC elevator_init
0x311E8E hostage_init
0x3124A2 scncamvib_init
0x31D58B strmfadr_init
0x3259E5 defender_init
0x3625B1 brk_magazine_init
0x3640F6 play_disap_init
0x365DEE brk_spotlgt_init
0x37014D gllcom_init
0x374069 har_sdmng_init
0x374BBE gunspin_init
0x3780F6 play_ap_init
0x397FD4 previous_story_init
0x3A6F25 bul_c4_init_0
0x3B1909 node_lamp_init
0x3C2410 raiden_mask_bubble_init
0x3C56AA namedetect_init
0x3EF35F lens_flr_gm_init
0x3F55FC brooklyn_init_0
0x3F9531 mcchkscrx_init
0x3FCD73 command5_init
0x40F2AE brk_icebox_init
0x413144 beltobj_init
0x4152DF body_slater_init
0x41F1F7 beltconv_init
0x438FFA scr_waterfilm_init
0x46139A glass_scar_init
0x470DEF automenu_init
0x4847D2 set_t_fc_init
0x48F8F8 spottex_init
0x492A40 routemdl_init
0x494239 get_newitem_init
0x49D6F1 putatach_scn_init
0x4A0018 easylayout_init
0x4A777D wave2_init
