0x19A53 NewGclCos
0x1D98E NewGclSin
0x1DCFD ENE_COM_AddBFMap
0x3042B CMD_SetGlobalAmbcube
0x53DA0 NewGclVarClear
0x581F9 NewBulletMark_Gcl
0x61ADE NewCamera
0x676E7 NewCameraBlurGCL
0x6D4F1 CMD_ForceSetOctocam
0x763F4 ENE_COM_AddCautionRoute
0x76979 NewNormalEnemyUnit
0x789AB NewGameBlastManager_Gcl
0x7A516 NewPutObject
0x9F757 ENE_COM_UnsetUnreal
0xA8F41 NewPhysicsBox
0xAADCD SCN_NewThreatRing
0xB17F8 NewSphericalCamera
0xB79AB GameBlastCommand
0xC2F66 ENE_COM_PVPatrolRoute
0xCD5DC NewFloatingDust_gcl
0xDEB5D PL_CMD_StartLadder
0xF3D40 ComGetCurrentStage
0x110136 PL_DBG_CMD_SolidEyeLight
0x11BD54 ENE_COM_PVFear
0x122D52 NewPlayerElude
0x128946 NewPlayer
0x166E22 COM_SoundSpeechRegist
0x16C3A3 COM_Nv2Add
0x18B73F PL_CMD_RegisterLadders
0x1AD855 ENE_COM_AddMideastMilitia
0x1B0682 NewSaveDataLoadTest
0x1DCF18 NewLandMineExternal
0x1E20BF NewGrassMng_03
0x1E226C ComGetCurrentRule
0x1E941B NewRegionManager_gcl
0x1EB744 ENE_COM_AddCombatRt
0x2062D9 COM_GUIRancher
0x21ACCA NewPotatoBox_S
0x227D89 PL_CMD_StartRopewalk
0x2420C1 GM_COM_IsPreviewStage
0x24ACBF NewGrassMng_02
0x258A76 NewMimeticTest
0x25DD59 GM_COM_SetPreviewStage
0x275B10 PL_DBG_CMD_StartSquatBackTap
0x2A7BD7 LegShadowSetAlpha
0x2BE927 NewRoomDust_05_Gcl
0x2D52A7 MIMTEST_Set
0x2DBA18 NewEnemyManager
0x2F5022 NewChiBrowser
0x3041CB COM_SoundBgmStart
0x309BCF COM_RadarSetGoalPosition
0x30CA90 NewHQC
0x328336 ENE_COM_UnsetUnitUnreal
0x329176 NewPhysicsCylinder
0x33A20F NewPolygonDemoStart
0x340723 NewPreview
0x35EBB2 COM_SoundTuneRegist
0x3A9224 NewRand
0x3C1348 COM_SoundSpeechInit
0x3D583E NewDrumcanRollingSmoke
0x3DC855 COM_svIsHost
0x3E2D3E ENE_COM_AddMideastPMC
0x429CDC COM_FreeRegion
0x43B9AB NewCameraDust
0x43F718 COM_SetCamera
0x45DA33 PL_InitGlobals
0x46496C ENE_COM_SimpleThinkOn
0x46C997 COM_SoundBgmDownLoad
0x47626C NewLODTest
0x47D37A NewKbdExec
0x48F40E NewOnlineErrorCheck
0x4A496F NewPlayerOctocamGCL
0x4B3368 NewTestItemboxManager
0x4B72D9 NewGclTmpLight
0x4D4D91 NewEffectPreview
0x4E5023 ENE_COM_PVSetTarget
0x4EDC3A PL_CMD_NormalPerform_SetPose
0x51EF29 ENE_COM_BFMapSetGo
0x52B59B COM_RegionDisableAutoChange
0x534302 GM_COM_MaterialSetMtr
0x536476 NewMotionStreamTestSet
0x5396D7 ENE_COM_BFMapSetWait
0x542B2D NewForeach
0x5861C9 ENE_COM_BFMapDisconnect
0x593FF4 PREPRE_LightMenuEnd
0x5A0D7F COM_SoundEnvStart
0x5A299D ENE_COM_SetUnitUnreal
0x5A5437 NewCorp_MideastMilitia_Gcl
0x5AF36E GM_COM_InventoryWeaponSet
0x5B316E NewSaveVariable
0x5BCCED COM_GUI_ColorRancher
0x5C2023 ComSetNetPlayerFactory
0x5D030F NewPhysFrame_GCL
0x5F558C ENE_COM_SimpleThinkOff
0x5F88D4 COM_SoundTuneInit
0x610637 PREPRE_ModelSetFromList
0x6176E5 NewMantleSimTest
0x628DC4 Com_SetScreenCaptureFormat
0x62FF2E NewGrassMng
0x63DE71 NewTagoTestProgram
0x6539FC ENE_COM_AddMideastPMC
0x6569FE COM_RegisterRegion
0x656B68 NewTestTree_02
0x65CFB0 ComIdemoAddMemberGekkou
0x65F643 ENE_COM_PVSuicide
0x664E35 ENE_COM_SetHostility
0x681A33 COM_InitOctcam
0x686853 NewSCBoundTrapChara
0x69B87E COM_PutStageModel_MeshControl
0x6AD02A GUI_InitConf
0x6B237D NewGclAssert
0x6C2898 PL_CMD_MoveToPosition
0x6CD16F NewSimpleFTP
0x6D653F ENE_COM_BFMapSetGoal
0x6F7D4D NewGameInit
0x713167 GM_COM_InventoryWeaponSetFor3Slot
0x7164EE ComIdemoEntry
0x71E7D6 NewSystemLightSet
0x743C9F NewDelay
0x7463F6 NewVehicleRoute
0x7468A3 NewBullet_Gcl
0x746CDD NewNetFsStartMS_Preview
0x74CB83 NewDefeatedCameraGCL
0x74E86B NewGclLangUpdate
0x7550D3 ItemBoxAllKill
0x75B0EF COM_RegionLoadAllWait
0x7718E5 COM_SoundBgmDLList
0x7BD080 PREPRE_ModelMenuEnd
0x7C4714 ComIdemoManagerInit
0x7E641F NewPutStageModelSet
0x7E9BDF NewHatakedaSuperTestHoge
0x8032AA NewStoryPlayer
0x8272DF ENE_COM_SetResurrectPos
0x83ADEE ComOLMResource
0x858830 NewWallSandSmoke_Gcl
0x87ABA0 NewPadCalibrateSet
0x88A394 ENE_COM_AddPatrolRoute
0x890B33 ENE_Gekkou_RouteMove
0x89A17E NewRepeat
0x8B6086 GM_COM_PadCheck
0x8B801A GameBlastManagerCommandBrust
0x8C0E07 NewTestMotion2
0x8DE97A COM_ZoneAdd
0x8E26AE ComNetPlayerSetArgs
0x904D13 ENE_COM_InitPatrolRoute
0x91818C NewBGColorSet
0x91CB0E ENE_COM_InitCautionRoute
0x9281D1 ENE_COM_ReservePatrolRt
0x9616F7 NewTrashContainer
0x961FD5 MIMTEST_AddParameters
0x97C9FC CMD_SetAmbcube
0x98CBCE NewColorFilterSet
0x98EA1C NewEnemyStryker
0x995CEF GM_TxtRouteGclSet
0x99E3A0 NewSupervisor
0x9A0D0A UTL_EFT_Initialize
0x9ADA66 NewBlastDrum_GCL
0x9B35A4 ENE_COM_BFMapSetOwner
0xA37A2D NewSoundTest
0xA489B1 NewPutLodStage
0xA64BBE ENE_COM_AddSouthAmericaPMC
0xA87A9B NewPrePreviewPutCharaModel
0xA8AD4B PL_CMD_StartFenceJump
0xA91442 NewNetPlayerCom
0xAAB662 ENE_COM_PVStopThink
0xAAC037 NewSnakeGauge
0xAAFD92 NewStepBreakPole_TGS2006
0xAC8D5D NewPrePreviewMenu
0xAE7BEA NewVehicleTest
0xB358F4 PL_CMD_StartElude
0xB440F2 PL_DBG_CMD_ForceSetHomingTarget
0xB5CA29 GM_COM_GeoSetMainGeom
0xB68DE0 ENE_COM_SetFriendship
0xB82FC7 NewExposureControlSet
0xB8DA09 NewSoundRegion
0xB907B5 ENE_Gekkou_MoveToPos
0xBC52CC NewSuspendFunctionTable
0xBDB38F PL_CMD_SetMainPlayerIndex
0xBE29FC GekkouIKOn_Command
0xBE7AF5 NewRepressBase
0xBFEBCF ENE_COM_InitStartThink
0xC040AB ENE_COM_PVReserveCombatRt
0xC454DD PL_CMD_ForceSetFaceMotion
0xC45D7D PL_DBG_CMD_ForceSetDamageState
0xC4BF5A NewOnlineMenu
0xC4F37A NewLegShadowPlayer_Gcl
0xC53EFD GekkouIKOff_Command
0xC74F97 NewArraySet
0xC8B69B NewSoundCheck
0xC9AFA9 NewPlayerLadder
0xCCD202 DeleteAllBulletMark
0xCCF220 NewDebugPutStageSet
0xCD646F GM_InventoryDaemonStart
0xCE2D24 NewSky
0xCE41E8 ENE_COM_BFMapSetCombatPoint
0xCEFEF4 NewSoundStage
0xD16BAA ENE_COM_SetUnreal
0xD4EA76 NewHeadUpDisplay
0xD59F97 NewRiseSmokes_gcl
0xD67A2D ENE_Gekkou_StartThinkStamp
0xD69C5D ENE_COM_StopRtAction
0xD90D19 ENE_COM_PVSetFace
0xDA81CA NewPHGCLPlayerCollisionChara
0xDA97FB GM_COM_TrapSwitchCommand
0xDBFE67 NewFogGas_gcl
0xDDE914 NewFogSet
0xDF0B16 ENE_Gekkou_StartThinkRoar
0xDFA416 NewSuspendDataLoadTest
0xE433F3 ENE_Gekkou_SetThinkPattern_1
0xE433F4 ENE_Gekkou_SetThinkPattern_2
0xE433F5 ENE_Gekkou_SetThinkPattern_3
0xE6C13F GameBlast2Command
0xE76D74 NewGclVariableMove
0xE85870 COM_CallRealTimeRadio
0xE91D8F GV_COM_UnsetGUIMode
0xE99449 NewTestStryker
0xEA6C00 NewBaselineMap
0xEEDC7A NewMGS3GlareControlSet
0xEF78F7 COM_Nv2ResidentAdd
0xEF8D4A COM_FogGas_AlphaChange
0xEFD25D GV_COM_SetGUIMode
0xF33538 ComIdemoAddMemberHuman
0xF576C7 COM_svGetRule
0xF57B9F NewCylinderTool2
0xF6D6BC NewObjCtrl
0xF75D3C ENE_COM_PVReset
0xFB2012 NewPlayerShadowCheckGCL
0xFB3729 PL_CMD_RegisterHidePlugin
0xFC181F NewWindManTemp
0xFEBFBD CR_AddDebugNet
